QuestionID,Question,SentenceID,Sentence,Label
Q22,how long is the term for federal judges,S22,"In addition to the Supreme Court of the United States , whose existence and some aspects of whose jurisdiction are beyond the constitutional power of Congress to alter, acts of Congress have established 13 courts of appeals (also called ""circuit courts"") with appellate jurisdiction over different regions of the United States, and 94 United States district courts .",0
Q23,how long is the term for federal judges,S23,"Every judge appointed to such a court may be categorized as a federal judge; such positions include the Chief Justice and Associate Justices of the Supreme Court, Circuit Judges of the courts of appeals, and district judges of the United States district courts .",0
Q24,how long is the term for federal judges,S24,"All of these judges described thus far are referred to sometimes as ""Article III judges"" because they exercise the judicial power vested in the judicial branch of the federal government by Article III of the U.S. Constitution.",0
Q25,how long is the term for federal judges,S25,"In addition, judges of the Court of International Trade exercise judicial power pursuant to Article III.",0
Q26,how long is the term for federal judges,S26,"Other judges serving in the federal courts, including magistrate judges and bankruptcy judges , are also sometimes referred to as ""federal judges""; however, they are neither appointed by the President nor confirmed by the Senate, and their power derives from Article I instead.",0
Q27,how long is the term for federal judges,S27,See Article I and Article III tribunals .,0
Q28,how a beretta model 21 pistols magazines works,S28,The Beretta 21A Bobcat is a small pocket-sized semi-automatic pistol designed by Beretta in Italy.,0
Q29,how a beretta model 21 pistols magazines works,S29,"Production began in late 1984, solely in the Beretta U.S.A. facility in Accokeek, Maryland.",0
Q30,how a beretta model 21 pistols magazines works,S30,"It is a further development of the Beretta Model 20, whose production ended in 1985.",0
Q31,how a vul works,S31,Variable Universal Life Insurance (often shortened to VUL) is a type of life insurance that builds a cash value.,0
Q32,how a vul works,S32,"In a VUL, the cash value can be invested in a wide variety of separate accounts , similar to mutual funds , and the choice of which of the available separate accounts to use is entirely up to the contract owner.",0
Q33,how a vul works,S33,The 'variable' component in the name refers to this ability to invest in separate accounts whose values vary—they vary because they are invested in stock and/or bond markets.,0
Q34,how a vul works,S34,The 'universal' component in the name refers to the flexibility the owner has in making premium payments.,0
Q35,how a vul works,S35,The premiums can vary from nothing in a given month up to maximums defined by the Internal Revenue Code for life insurance.,0
Q36,how a vul works,S36,"This flexibility is in contrast to whole life insurance that has fixed premium payments that typically cannot be missed without lapsing the policy (although one may exercise an Automatic Premium Loan feature, or surrender dividends to pay a Whole Life premium).",0
Q37,how a vul works,S37,"Variable universal life is a type of permanent life insurance , because the death benefit will be paid if the insured dies any time as long as there is sufficient cash value to pay the costs of insurance in the policy.",0
Q38,how a vul works,S38,"With most if not all VULs, unlike whole life, there is no endowment age (the age at which the cash value equals the death benefit amount, which for whole life is typically 100).",0
Q39,how a vul works,S39,This is yet another key advantage of VUL over Whole Life.,0
Q40,how a vul works,S40,"With a typical whole life policy, the death benefit is limited to the face amount specified in the policy, and at endowment age, the face amount is all that is paid out.",0
Q41,how a vul works,S41,"Thus with either death or endowment, the insurance company keeps any cash value built up over the years.",0
Q42,how a vul works,S42,"However, some participating whole life policies offer riders which specify that any dividends paid on the policy be used to purchase ""paid up additions"" to the policy which increase both the cash value and the death benefit over time.",0
Q43,how a vul works,S43,"If investments made in the separate accounts out-perform the general account of the insurance company, a higher rate-of-return can occur than the fixed rates-of-return typical for whole life.",0
Q44,how a vul works,S44,"The combination over the years of no endowment age, continually increasing death benefit, and if a high rate-of-return is earned in the separate accounts of a VUL policy, this could result in higher value to the owner or beneficiary than that of a whole life policy with the same amounts of money paid in as premiums.",0
Q45,how an outdoor wood boiler works,S45,The outdoor wood boiler is a variant of the classic wood stove adapted for set-up outdoors while still transferring the heat to interior buildings.,0
Q46,how big did girl scout cookie boxes used to be,S46,A mound of Girl Scout cookies.,0
Q47,how big did girl scout cookie boxes used to be,S47,This mound contains 74 boxes of cookies,0
Q48,how big did girl scout cookie boxes used to be,S48,Girl Scout Cookies are cookies sold by Girl Scouts of the USA (GSUSA) as one of its major fundraisers for local Scout units.,0
Q49,how big did girl scout cookie boxes used to be,S49,Members of the GSUSA have been selling cookies since 1917 to raise funds.,0
Q50,how big did girl scout cookie boxes used to be,S50,Girls who participate can earn prizes for their efforts.,0
Q51,how big did girl scout cookie boxes used to be,S51,There are also unit incentives if the unit as a whole does well.,0
Q52,how big did girl scout cookie boxes used to be,S52,"As of 2007, sales were estimated at about 200 million boxes per year.",0
Q53,how big is the purdue greek system,S53,University Hall,0
Q54,how big is the purdue greek system,S54,"Purdue University, located in West Lafayette, Indiana , is the flagship university of the six-campus Purdue University system .",0
Q55,how big is the purdue greek system,S55,"Purdue was founded on May 6, 1869, as a land-grant university when the Indiana General Assembly , taking advantage of the Morrill Act , accepted a donation of land and money from Lafayette businessman John Purdue to establish a college of science, technology, and agriculture in his name.",0
Q56,how big is the purdue greek system,S56,"The first classes were held on September 16, 1874, with six instructors and 39 students.",0
Q57,how big is the purdue greek system,S57,"Today, Purdue is a member of the Big Ten Conference , and is a well known world-class research institution.",0
Q58,how big is the purdue greek system,S58,Purdue enrolls the second largest student body of any university in Indiana as well as the fourth largest international student population of any university in the United States.,0
Q59,how big is the purdue greek system,S59,"Purdue offers both undergraduate and graduate programs in over 211 major areas of study, and is well known for its competitive engineering curricula.",0
Q60,how big is the purdue greek system,S60,"The university has also been highly influential in America's history of aviation , having established the first college credit offered in flight training , the first four-year bachelor's degree in aviation, and the first university airport ( Purdue University Airport ).",0
Q61,how big is the purdue greek system,S61,Purdue's aviation technology program remains one of the most competitive aviation-specific programs in the world.,0
Q62,how big is the purdue greek system,S62,"In the mid-20th century, Purdue's aviation program expanded to encompass advanced spaceflight technology giving rise to Purdue's nickname, Cradle of Astronauts.",0
Q63,how big is the purdue greek system,S63,"Twenty-three Purdue graduates have gone on to become astronauts, including Gus Grissom (one of the original Mercury Seven astronauts), Neil Armstrong (the first person to walk on the moon), and Eugene Cernan (the most recent person to walk on the moon).",0
Q64,how big do sebaceous cysts get,S64,A sebaceous cyst () is a term that loosely refers to either epidermoid cysts (also known as epidermal cysts; L72.0 ) or pilar cysts (also known as trichilemmal cysts; L72.1 ).,0
Q65,how big do sebaceous cysts get,S65,"Because an epidermoid cyst originates in the epidermis and a pilar cyst originates from hair follicles , by definition, neither type of cyst is strictly a sebaceous cyst.",0
Q66,how big do sebaceous cysts get,S66,"The name is regarded as a misnomer as the fatty, white, semi-solid material in both of these cyst entities is not sebum , but keratin .",0
Q67,how big do sebaceous cysts get,S67,"Furthermore, under the microscope neither entity contains sebaceous glands .",0
Q68,how big do sebaceous cysts get,S68,"In practice, however, the terms are often used interchangeably.",0
Q69,how big do sebaceous cysts get,S69,"True sebaceous cysts are relatively rare and are known as steatocystomas or, if multiple, as steatocystoma multiplex .",0
Q70,how are pointe shoes made,S70,Modern pointe shoes.,0
Q71,how are pointe shoes made,S71,"The edge of the toe pad, which is inserted between the foot and toe box for cushioning, can be seen on the right foot.",0
Q72,how are pointe shoes made,S72,A pointe shoe is a type of shoe worn by ballet dancers when performing pointe work .,0
Q73,how are pointe shoes made,S73,Pointe shoes developed from the desire for dancers to appear weightless and sylph -like and have evolved to enable dancers to dance en pointe (on the tips of their toes) for extended periods of time.,0
Q74,how are pointe shoes made,S74,"They are normally worn by female dancers, though male dancers may wear them for unorthodox roles such as the ugly stepsisters in Cinderella , Bottom in A Midsummer Night's Dream , or men performing as women in dance companies such as Les Ballets Trockadero and Grandiva.",0
Q75,how are pointe shoes made,S75,"They are manufactured in a variety of colors, most commonly in shades of light pink.",0
Q76,how much is 1 tablespoon of water,S76,This tablespoon has a capacity of about 15 mL.,1
Q77,how much is 1 tablespoon of water,S77,Measuring Spoons,0
Q78,how much is 1 tablespoon of water,S78,"In the US and parts of Canada, a tablespoon is the largest type of spoon used for eating from a bowl.",0
Q79,how much is 1 tablespoon of water,S79,"In the UK, Europe and most Commonwealth countries, a tablespoon is a type of large spoon usually used for serving.",0
Q80,how much is 1 tablespoon of water,S80,"In countries where a tablespoon is a serving spoon, the nearest equivalent to the US tablespoon is either the dessert spoon or the soup spoon .",0
Q81,how much is 1 tablespoon of water,S81,"A tablespoonful, nominally the capacity of one tablespoon, is commonly used as a measure of volume in cooking .",0
Q82,how much is 1 tablespoon of water,S82,"It is abbreviated as T, tb, tbs, tbsp, tblsp, or tblspn.",0
Q83,how much is 1 tablespoon of water,S83,The capacity of ordinary tablespoons is not regulated by law and is subject to considerable variation.,0
Q84,how much is 1 tablespoon of water,S84,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,1
Q85,how much is 1 tablespoon of water,S85,In Australia one tablespoon (measurement unit) is 20 mL.,1
Q86,how much are the harry potter movies worth,S86,Harry Potter is a series of seven fantasy novels written by the British author J. K. Rowling .,0
Q87,how much are the harry potter movies worth,S87,"The books chronicle the adventures of a wizard , Harry Potter , and his friends Ronald Weasley and Hermione Granger , all of whom are students at Hogwarts School of Witchcraft and Wizardry .",0
Q88,how much are the harry potter movies worth,S88,"The main story arc concerns Harry's quest to overcome the Dark wizard Lord Voldemort , whose aims are to become immortal, conquer the wizarding world , subjugate non-magical people, and destroy all those who stand in his way, especially Harry Potter.",0
Q89,how much are the harry potter movies worth,S89,"Since the release of the first novel Harry Potter and the Philosopher's Stone on 30 June 1997, the books have gained immense popularity, critical acclaim and commercial success worldwide.",0
Q90,how much are the harry potter movies worth,S90,"The series has also had some share of criticism, including concern for the increasingly dark tone.",0
Q91,how much are the harry potter movies worth,S91,", the book series has sold about 450 million copies, making it the best-selling book series in history , and has been translated into 67 languages .",0
Q92,how much are the harry potter movies worth,S92,The last four books consecutively set records as the fastest-selling books in history.,0
Q93,how much are the harry potter movies worth,S93,"A series of many genres , including fantasy and coming of age (with elements of mystery , thriller , adventure , and romance ), it has many cultural meanings and references.",0
Q94,how much are the harry potter movies worth,S94,"According to Rowling, the main theme is death.",0
Q95,how much are the harry potter movies worth,S95,"There are also many other themes in the series, such as prejudice and corruption.",0
Q96,how much are the harry potter movies worth,S96,The initial major publishers of the books were Bloomsbury in the United Kingdom and Scholastic Press in the United States.,0
Q97,how much are the harry potter movies worth,S97,The books have since been published by many publishers worldwide.,0
Q98,how much are the harry potter movies worth,S98,"The books, with the seventh book split into two parts, have been made into an eight-part film series by Warner Bros. Pictures , the highest-grossing film series of all time.",0
Q99,how much are the harry potter movies worth,S99,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.",1
Q100,how much are the harry potter movies worth,S100,"Also due to the success of the books and films, Harry Potter has been used for a theme park, The Wizarding World of Harry Potter in Universal Parks & Resorts 's Islands of Adventure .",0
Q101,how a rocket engine works,S101,RS-68 being tested at NASA's Stennis Space Center.,0
Q102,how a rocket engine works,S102,"The nearly transparent exhaust is due to this engine's exhaust being mostly superheated steam (water vapor from its propellants, hydrogen and oxygen)",0
Q103,how a rocket engine works,S103,Viking 5C rocket engine,0
Q104,how a rocket engine works,S104,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",1
Q105,how a rocket engine works,S105,Rocket engines are reaction engines and obtain thrust in accordance with Newton's third law .,0
Q106,how a rocket engine works,S106,"Since they need no external material to form their jet, rocket engines can be used for spacecraft propulsion as well as terrestrial uses, such as missiles .",0
Q107,how a rocket engine works,S107,"Most rocket engines are internal combustion engines , although non-combusting forms also exist.",0
Q108,how a rocket engine works,S108,"Rocket engines as a group have the highest exhaust velocities, are by far the lightest, but are the least propellant efficient of all types of jet engines.",0
Q109,how old was britney spears when she recorded hit me baby one more time,S109,...Baby One More Time is a song by American recording artist Britney Spears .,0
Q110,how old was britney spears when she recorded hit me baby one more time,S110,"It served as Spears's debut single and title track from her debut studio album, ...Baby One More Time (1999).",0
Q111,how old was britney spears when she recorded hit me baby one more time,S111,"Written by Max Martin and produced by Martin and Rami , ""...Baby One More Time"" was released on September 30, 1998, by Jive Records .",0
Q112,how old was britney spears when she recorded hit me baby one more time,S112,"After recording and sending a demo tape with an unused song from Toni Braxton , Spears signed a multi-album deal with Jive.",0
Q113,how old was britney spears when she recorded hit me baby one more time,S113,...Baby One More Time is a teen pop and dance-pop song that refers to a girl who regrets breaking up with her boyfriend.,0
Q114,how old was britney spears when she recorded hit me baby one more time,S114,"The song received generally favorable reviews from critics, who praised its composition.",0
Q115,how old was britney spears when she recorded hit me baby one more time,S115,"...Baby One More Time attained global success, reaching number one in every country it charted.",0
Q116,how old was britney spears when she recorded hit me baby one more time,S116,"It also received numerous certifications around the world, and is one of the best-selling singles of all time , with over 10 million copies sold.",0
Q117,how old was britney spears when she recorded hit me baby one more time,S117,"An accompanying music video, directed by Nigel Dick , portrays Spears as a student from a Catholic high school, who starts to daydream that she is singing and dancing around the school, while watching her love interest from afar.",0
Q118,how old was britney spears when she recorded hit me baby one more time,S118,"The music video was later referenced in the music video of "" If U Seek Amy "" (2008), where Spears's fictional daughter is dressed with a similar schoolgirl outfit while wearing pink ribbons in her hair.",0
Q119,how old was britney spears when she recorded hit me baby one more time,S119,"In 2010, the music video for ""...Baby One More Time"" was voted the third most influential video in the history of pop music, in a poll held by Jam! .",0
Q120,how old was britney spears when she recorded hit me baby one more time,S120,"Spears has performed ""...Baby One More Time"" in a number of live appearances and in all of her concert tours.",0
Q121,how old was britney spears when she recorded hit me baby one more time,S121,It was the encore of the ...Baby One More Time Tour (1999) and Dream Within a Dream Tour (2001); Spears also performed remixed versions of the song during the Oops!...,0
Q122,how old was britney spears when she recorded hit me baby one more time,S122,"I Did It Again World Tour (2000), The Onyx Hotel Tour (2004), The M+M's Tour (2007), The Circus Starring Britney Spears (2009), and the Femme Fatale Tour (2011).",0
Q123,how old was britney spears when she recorded hit me baby one more time,S123,"...Baby One More Time was nominated for a Grammy Award for Best Female Pop Vocal Performance , and has been included in lists by Blender , Rolling Stone and VH1 .",0
Q124,how old was britney spears when she recorded hit me baby one more time,S124,It has been noted for redefining the sound of late 1990s music.,0
Q125,how old was britney spears when she recorded hit me baby one more time,S125,"Spears has named ""...Baby One More Time"" as one of her favorite songs from her career.",0
Q126,how old was britney spears when she recorded hit me baby one more time,S126,It was also the final song to be played on the BBC 's music programme Top of the Pops .,0
Q127,how are cholera and typhus transmitted and prevented,S127,Cholera is an infection in the small intestine caused by the bacterium Vibrio cholerae .,0
Q128,how are cholera and typhus transmitted and prevented,S128,The main symptoms are watery diarrhea and vomiting .,0
Q129,how are cholera and typhus transmitted and prevented,S129,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.",1
Q130,how are cholera and typhus transmitted and prevented,S130,"The severity of the diarrhea and vomiting can lead to rapid dehydration and electrolyte imbalance, and death in some cases.",0
Q131,how are cholera and typhus transmitted and prevented,S131,"The primary treatment is oral rehydration therapy , typically with oral rehydration solution , to replace water and electrolytes.",0
Q132,how are cholera and typhus transmitted and prevented,S132,"If this is not tolerated or does not provide improvement fast enough, intravenous fluids can also be used.",0
Q133,how are cholera and typhus transmitted and prevented,S133,Antibacterial drugs are beneficial in those with severe disease to shorten its duration and severity.,0
Q134,how are cholera and typhus transmitted and prevented,S134,"Worldwide, it affects 3–5 million people and causes 100,000–130,000 deaths a year .",0
Q135,how are cholera and typhus transmitted and prevented,S135,Cholera was one of the earliest infections to be studied by epidemiological methods.,0
Q136,how old is sybil vane in the picture of dorian gray,S136,"The Picture of Dorian Gray is the only published novel by Oscar Wilde , appearing as the lead story in Lippincott's Monthly Magazine on 20 June 1890, printed as the July 1890 issue of this magazine.",0
Q137,how old is sybil vane in the picture of dorian gray,S137,"The magazine's editors feared the story was indecent as submitted, so they censored roughly 500 words, without Wilde's knowledge, before publication.",0
Q138,how old is sybil vane in the picture of dorian gray,S138,"But even with that, the story was still greeted with outrage by British reviewers, some of whom suggested that Wilde should be prosecuted on moral grounds, leading Wilde to defend the novel aggressively in letters to the British press.",0
Q139,how old is sybil vane in the picture of dorian gray,S139,"Wilde later revised the story for book publication, making substantial alterations, deleting controversial passages, adding new chapters and including an aphoristic Preface which has since become famous in its own right.",0
Q140,how old is sybil vane in the picture of dorian gray,S140,"The amended version was published by Ward, Lock and Company in April 1891.",0
Q141,how old is sybil vane in the picture of dorian gray,S141,Some scholars believe that Wilde would today have wanted us to read the version he originally submitted to Lippincott's.,0
Q142,how old is sybil vane in the picture of dorian gray,S142,"The novel tells of a young man named Dorian Gray, the subject of a painting by artist Basil Hallward.",0
Q143,how old is sybil vane in the picture of dorian gray,S143,"Basil is impressed by Dorian's beauty and becomes infatuated with him, believing his beauty is responsible for a new mode in his art.",0
Q144,how old is sybil vane in the picture of dorian gray,S144,"Dorian meets Lord Henry Wotton, a friend of Basil's, and becomes enthralled by Lord Henry's world view.",0
Q145,how old is sybil vane in the picture of dorian gray,S145,"Espousing a new hedonism , Lord Henry suggests the only things worth pursuing in life are beauty and fulfilment of the senses.",0
Q146,how old is sybil vane in the picture of dorian gray,S146,"Realizing that one day his beauty will fade, Dorian (whimsically) expresses a desire to sell his soul to ensure the portrait Basil has painted would age rather than he.",0
Q147,how old is sybil vane in the picture of dorian gray,S147,"Dorian's wish is fulfilled, and when he subsequently pursues a life of debauchery, the portrait serves as a reminder of the effect each act has upon his soul , with each sin displayed as a disfigurement of his form, or through a sign of aging.",0
Q148,how old is sybil vane in the picture of dorian gray,S148,The Picture of Dorian Gray is considered a work of classic Gothic fiction with a strong Faustian theme .,0
Q149,how old is zsa zsa gabor's daughter,S149,"Sári Gábor (born 6 February 1917), known as Zsa Zsa Gabor (), is a Hungarian -born American actress who acted in supporting roles in movies, on Broadway , and occasionally on television .",0
Q150,how old is zsa zsa gabor's daughter,S150,Gabor was also a socialite .,0
Q151,how old is zsa zsa gabor's daughter,S151,"She began her stage career in Vienna at age 15, and was crowned Miss Hungary in 1936.",0
Q152,how old is zsa zsa gabor's daughter,S152,"She emigrated to the United States in 1941 and became a sought-after actress with ""European flair and style"", with a personality that ""exuded charm and grace"".",0
Q153,how old is zsa zsa gabor's daughter,S153,Her first movie role was as supporting actress in Lovely to Look At .,0
Q154,how old is zsa zsa gabor's daughter,S154,She later acted in We're Not Married!,0
Q155,how old is zsa zsa gabor's daughter,S155,"and played one of her few leading roles in Moulin Rouge (1952), directed by John Huston , who described her as a ""creditable"" actress.",0
Q156,how old is zsa zsa gabor's daughter,S156,"Besides her film and television appearances, she is best known for having nine husbands, including hotel magnate Conrad Hilton and actor George Sanders .",0
Q157,how old is zsa zsa gabor's daughter,S157,"She once stated, ""Men have always liked me and I have always liked men.",0
Q158,how old is zsa zsa gabor's daughter,S158,"But I like a mannish man, a man who knows how to talk to and treat a woman – not just a man with muscles.""",0
Q159,how bruce lee died,S159,"Bruce Lee (traditional :李小龍; born Lee Jun-fan; 27 November 1940 – 20 July 1973) was a Chinese American martial artist , actor, martial arts instructor, philosopher, and filmmaker.",0
Q160,how bruce lee died,S160,"The founder of Jeet Kune Do , Lee was the son of Cantonese opera star Lee Hoi-Chuen .",0
Q161,how bruce lee died,S161,"He is widely considered by commentators, critics, media and other martial artists to be one of the most influential martial artists of all time, and a pop culture icon of the 20th century.",0
Q162,how bruce lee died,S162,He is often credited with helping to change the way Asians were presented in American films.,0
Q163,how bruce lee died,S163,"Lee was born in Chinatown, San Francisco on 27 November 1940 to parents from Hong Kong and was raised in Kowloon with his family until his late teens.",0
Q164,how bruce lee died,S164,He was introduced to the film industry by his father and appeared in several films as a child actor.,0
Q165,how bruce lee died,S165,"Lee moved to the United States at the age of 18 to receive his higher education, and it was during this time that he began teaching martial arts.",0
Q166,how bruce lee died,S166,"His Hong Kong and Hollywood -produced films elevated the traditional Hong Kong martial arts film to a new level of popularity and acclaim, sparking a surge of interest in Chinese martial arts in the West in the 1970s.",0
Q167,how bruce lee died,S167,The direction and tone of his films changed and influenced martial arts and martial arts films in Hong Kong and the rest of the world.,0
Q168,how bruce lee died,S168,"He is noted for his roles in five feature-length films: Lo Wei 's The Big Boss (1971) and Fist of Fury (1972); Way of the Dragon (1972), directed and written by Lee; Warner Brothers ' Enter the Dragon (1973) and The Game of Death (1978), both directed by Robert Clouse .",0
Q169,how bruce lee died,S169,"Lee became an iconic figure known throughout the world, particularly among the Chinese , as he portrayed Chinese nationalism in his films.",0
Q170,how bruce lee died,S170,"He initially trained in Wing Chun , but later rejected well-defined martial art styles, favouring instead the use of techniques from various sources, in the spirit of his personal martial arts philosophy, which he dubbed Jeet Kune Do (The Way of the Intercepting Fist).",0
Q171,how bruce lee died,S171,Lee held dual citizenship of Hong Kong and the United States.,0
Q172,how bruce lee died,S172,He died in Kowloon Tong on 20 July 1973 at age 32.,0
Q173,how active can one be with copd,S173,"Chronic obstructive pulmonary disease (COPD), also known as chronic obstructive lung disease (COLD), chronic obstructive airway disease (COAD), chronic airflow limitation (CAL) and chronic obstructive respiratory disease (CORD), is the occurrence of chronic bronchitis or emphysema , a pair of commonly co-existing diseases of the lungs in which the airways narrow over time.",0
Q174,how active can one be with copd,S174,"This limits airflow to and from the lungs, causing shortness of breath (dyspnea).",0
Q175,how active can one be with copd,S175,"In clinical practice, COPD is defined by its characteristically low airflow on lung function tests .",0
Q176,how active can one be with copd,S176,"In contrast to asthma , this limitation is poorly reversible and usually gets progressively worse over time.",0
Q177,how active can one be with copd,S177,"COPD is caused by noxious particles or gas, most commonly from tobacco smoking , which triggers an abnormal inflammatory response in the lung.",0
Q178,how active can one be with copd,S178,The diagnosis of COPD requires lung function tests .,0
Q179,how active can one be with copd,S179,"Important management strategies are smoking cessation , vaccinations , rehabilitation , and drug therapy (often using inhalers ).",0
Q180,how active can one be with copd,S180,Some patients go on to require long-term oxygen therapy or lung transplantation .,0
Q181,how active can one be with copd,S181,"Worldwide, COPD ranked as the sixth leading cause of death in 1990.",0
Q182,how active can one be with copd,S182,"It is projected to become the fourth leading cause of death worldwide by 2030, due to an increase in smoking rates and demographic changes in many countries.",0
Q183,how active can one be with copd,S183,"COPD is the third leading cause of death in the U.S., and the economic burden of COPD in the U.S. in 2007 was $42.6 billion in health care costs and lost productivity.",0
Q184,how did anne frank die,S184,"Annelies ""Anne"" Marie Frank (, ?, ; 12 June 1929early March 1945) is one of the most discussed Jewish victims of the Holocaust .",0
Q185,how did anne frank die,S185,Her diary has been the basis for several plays and films.,0
Q186,how did anne frank die,S186,"Born in the city of Frankfurt am Main in Weimar Germany , she lived most of her life in or near Amsterdam , in the Netherlands.",0
Q187,how did anne frank die,S187,"Born a German national, Frank lost her citizenship in 1941.",0
Q188,how did anne frank die,S188,She gained international fame posthumously after her diary was published.,0
Q189,how did anne frank die,S189,It documents her experiences hiding during the German occupation of the Netherlands in World War II .,0
Q190,how did anne frank die,S190,"The Frank family moved from Germany to Amsterdam in 1933, the year the Nazis gained control over Germany.",0
Q191,how did anne frank die,S191,"By the beginning of 1940, they were trapped in Amsterdam by the Nazi occupation of the Netherlands.",0
Q192,how did anne frank die,S192,"As persecutions of the Jewish population increased in July 1942, the family went into hiding in the hidden rooms of Anne's father, Otto Frank 's, office building.",0
Q193,how did anne frank die,S193,"After two years, the group was betrayed and transported to concentration camps .",0
Q194,how did anne frank die,S194,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.",1
Q195,how did anne frank die,S195,"Otto Frank, the only survivor of the family, returned to Amsterdam after the war to find that Anne's diary had been saved, and his efforts led to its publication in 1947.",0
Q196,how did anne frank die,S196,It was translated from its original Dutch and first published in English in 1952 as The Diary of a Young Girl .,0
Q197,how did anne frank die,S197,It has since been translated into many languages.,0
Q198,how did anne frank die,S198,"The diary, which was given to Anne on her 13th birthday, chronicles her life from 12 June 1942 until 1 August 1944.",0
Q199,how old is kurt cobain's daughter,S199,Kurt's signature,0
Q200,how old is kurt cobain's daughter,S200,"Kurt Donald Cobain (February 20, 1967 – April 5, 1994) was an American musician and artist , best known as the lead singer , guitarist and primary songwriter of the grunge band Nirvana .",0
Q201,how old is kurt cobain's daughter,S201,"Cobain formed Nirvana with Krist Novoselic in Aberdeen, Washington in 1985 and established it as part of the Seattle music scene, having its debut album Bleach released on the independent record label Sub Pop in 1989.",0
Q202,how old is kurt cobain's daughter,S202,"After signing with major label DGC Records , the band found breakthrough success with "" Smells Like Teen Spirit "" from its second album Nevermind (1991).",0
Q203,how old is kurt cobain's daughter,S203,"Following the success of Nevermind, Nirvana was labeled ""the flagship band"" of Generation X , and Cobain hailed as ""the spokesman of a generation"".",0
Q204,how old is kurt cobain's daughter,S204,"Cobain, however, was often uncomfortable and frustrated, believing his message and artistic vision to have been misinterpreted by the public, with his personal issues often subject to media attention.",0
Q205,how old is kurt cobain's daughter,S205,He challenged Nirvana's audience with its final studio album In Utero (1993).,0
Q206,how old is kurt cobain's daughter,S206,"During the last years of his life, Cobain struggled with heroin addiction , illness and depression.",0
Q207,how old is kurt cobain's daughter,S207,"He also had difficulty coping with his fame and public image, and the professional and lifelong personal pressures surrounding himself and his wife, musician Courtney Love .",0
